,Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy
1025,1026,Destiny,PS3,Activision,0.67,0.66,0.12,0.27,1.73,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA
1026,1027,SSX Tricky,PS2,Electronic Arts,0.85,0.66,0,0.22,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA
1027,1028,Overwatch,PS4,Activision,0.64,0.68,0.14,0.26,1.73,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA
1028,1029,Twisted Metal III,PS,989 Studios,1.48,0.2,0,0.05,1.73,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,1030,Harry Potter and the Sorcerer's Stone,GB,Electronic Arts,0.94,0.62,0.1,0.07,1.73,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,1031,Disney Infinity,Wii,Disney Interactive Studios,1.15,0.44,0,0.14,1.73,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,1032,Crash Bandicoot: The Huge Adventure,GBA,Universal Interactive,0.95,0.7,0,0.08,1.73,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA
1032,1033,Dishonored,X360,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,1034,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Take-Two Interactive,0.85,0.66,0,0.22,1.72,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,1035,The Order: 1886,PS4,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA
1035,1036,The Elder Scrolls Online,PS4,Bethesda Softworks,0.66,0.78,0,0.28,1.72,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA
1036,1037,Call of Duty: World at War Final Fronts,PS2,Activision,0.61,0.18,0,0.94,1.72,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA
1037,1038,Imagine: Teacher,DS,Ubisoft,0.7,0.83,0,0.19,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
1038,1039,Call of Duty: Modern Warfare 3,PC,Activision,0.41,0.98,0,0.33,1.72,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
1039,1040,Madden NFL 2005,XB,Electronic Arts,1.61,0.03,0,0.08,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1040,1041,Star Ocean: Till The End of Time,PS2,Ubisoft,,,0.55,0.15,1.72,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA
1041,1042,The Sims 3: Late Night Expansion Pack,PC,Electronic Arts,0.59,0.87,0,0.25,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA
1042,1043,Game Party 3,Wii,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA
1043,1044,Toy Story 2: Buzz Lightyear to the Rescue!,PS,Activision,0.99,0.64,0,0.08,1.71,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA
1044,1045,Deal or No Deal,DS,Mindscape,1.15,0.41,0,0.15,1.71,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
1045,1046,Ace Combat 5: The Unsung War,PS2,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA
1046,1047,Need for Speed Underground,XB,Electronic Arts,1.09,0.55,0,0.07,1.71,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
1047,1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,Nintendo,0,0,1.71,0,1.71,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA
1048,1049,Tetris Worlds,GBA,THQ,1.25,0.39,0,0.06,1.71,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA
1049,1050,Cabela's Big Game Hunter 2010,Wii,Activision Value,1.58,0,0,0.12,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
1050,1051,The Crew,PS4,Ubisoft,0.34,1.08,0.03,0.26,1.7,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA
1051,1052,FIFA Soccer 10,PS2,Electronic Arts,0.23,0.24,0,1.23,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
1052,1053,We Ski,Wii,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
1053,1054,Personal Trainer: Math,DS,Nintendo,0.49,1.12,0,0.09,1.7,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA
1054,1055,Kirby's Return to Dreamland,Wii,Nintendo,0.62,0.21,0.79,0.08,1.7,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
1055,1056,Super Puyo Puyo,SNES,Banpresto,0,0,1.69,0.01,1.7,NA,NA,NA,NA,NA,1993,NA,NA,NA,NA,NA,NA
1056,1057,Ben 10: Protector of Earth,DS,D3Publisher,0.69,0.83,0,0.19,1.7,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,1058,NCAA Football 07,PS2,Electronic Arts,1.41,0.05,0,0.23,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
1058,1059,SOCOM 3: U.S. Navy SEALs,PS2,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA
1059,1060,NBA 2K15,XOne,Take-Two Interactive,1.36,0.18,0,0.15,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA
1060,1061,Saints Row 2,PS3,THQ,0.88,0.54,0.02,0.25,1.69,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,1062,Saints Row IV,X360,Deep Silver,1.01,0.53,0.01,0.14,1.69,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1062,1063,Jampack Winter '99,PS,Sony Computer Entertainment,0.94,0.64,0,0.11,1.69,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA
1063,1064,Dragon Age: Origins,PS3,Electronic Arts,0.96,0.44,0.08,0.22,1.69,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
1064,1065,FIFA 16,X360,Electronic Arts,0.55,1.01,0,0.13,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA
1065,1066,WCW vs. nWo: World Tour,N64,THQ,1.37,0.28,0.03,0.02,1.69,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,1067,WCW/NWO Thunder,PS,THQ,1.1,0.48,0.04,0.07,1.69,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,1068,Harry Potter and the Sorcerer's Stone,GBA,Electronic Arts,0.87,0.66,0.08,0.08,1.69,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,1069,Need For Speed: Undercover,X360,Electronic Arts,0.79,0.71,0.01,0.18,1.69,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA
1069,1070,Dragon Ball Z: The Legacy of Goku,GBA,Infogrames,1.52,0.12,0,0.05,1.69,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA
1070,1071,Sid Meier's Civilization V,PC,Take-Two Interactive,0.98,0.52,0,0.19,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
1071,1072,Resident Evil 4,GC,Capcom,0.98,0.42,0.22,0.06,1.69,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,1073,Call of Duty Black Ops: Declassified,PSV,Activision,0.8,0.52,0.07,0.3,1.69,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,1074,Star Wars Battlefront: Renegade Squadron,PSP,LucasArts,0.9,0.47,0,0.32,1.68,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA
1074,1075,World Championship Poker: Featuring Howard Lederer - All In,PS2,Oxygen Interactive,0.82,0.64,0,0.22,1.68,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA
1075,1076,NFL GameDay 98,PS,Sony Computer Entertainment,1.58,0.06,0,0.04,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA
1076,1077,LEGO Batman 2: DC Super Heroes,X360,Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,1.68,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,1078,Yoshi's Cookie,GB,Nintendo,0.59,0.24,0.82,0.03,1.68,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,NA,NA
1078,1079,Time Crisis,PS,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA
1079,1080,The Sims: Superstar,PC,Electronic Arts,1.67,0,0,0,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA
1080,1081,Star Wars The Clone Wars: Lightsaber Duels,Wii,LucasArts,1.23,0.3,0,0.14,1.68,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,1082,MySims,Wii,Electronic Arts,0.91,0.55,0.04,0.17,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA
1082,1083,Metroid Fusion,GBA,Nintendo,1.18,0.27,0.17,0.06,1.68,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,1084,Shaun White Snowboarding: Road Trip,Wii,Ubisoft,0.94,0.57,0,0.17,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
1084,1085,SSX 3,PS2,Electronic Arts,0.93,0.52,0,0.22,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
1085,1086,Big Beach Sports,Wii,THQ,0.45,1.02,0,0.2,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
1086,1087,Madden NFL 2001,PS,Electronic Arts,1.58,0.05,0,0.04,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA
1087,1088,Fight Night Round 3,PS3,Electronic Arts,0.81,0.59,0.01,0.26,1.67,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,1089,Knack,PS4,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
1089,1090,Star Wars: Battlefront II,XB,Activision,1.22,0.39,0,0.06,1.67,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA
1090,1091,Disney's DuckTales,NES,Capcom,0.91,0.3,0.42,0.04,1.67,NA,NA,NA,NA,1989,NA,NA,NA,NA,NA,NA,NA
1091,1092,Tony Hawk's Pro Skater 3,PS,Activision,1.09,0.49,0.02,0.07,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA
1092,1093,"Monsters, Inc.",GBA,THQ,0.59,0.95,0.03,0.1,1.67,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,1094,StarCraft II: Heart of the Swarm,PC,Activision,0.82,0.65,0,0.19,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1094,1095,PGR: Project Gotham Racing 2,XB,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
1095,1096,Spy Hunter,PS2,Midway Games,1.13,0.32,0,0.22,1.67,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA
1096,1097,NCAA Football 2004,PS2,Electronic Arts,1.35,0.09,0,0.23,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
1097,1098,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,THQ,1.08,0.45,0,0.14,1.67,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA
1098,1099,Dying Light,PS4,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,1100,Heavenly Sword,PS3,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,1101,Street Fighter II': Special Champion Edition,GEN,Sega,1,0.3,0.31,0.04,1.66,NA,NA,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,1102,SSX,PS2,Electronic Arts,0.78,0.61,0.06,0.2,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA
1102,1103,Max Payne 3,X360,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA
1103,1104,NBA Ballers,PS2,Midway Games,0.81,0.63,0,0.21,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1104,1105,Need for Speed Carbon,X360,Electronic Arts,0.76,0.7,0.02,0.18,1.66,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA
1105,1106,NBA Live 2003,PS2,Electronic Arts,1.25,0.15,0.03,0.22,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA
1106,1107,Dragon Ball Z: Budokai Tenkaichi,PS2,Atari,0.96,0.12,0.54,0.04,1.66,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,1108,Ms. Pac-Man,2600,Atari,1.54,0.1,0,0.02,1.65,NA,NA,NA,NA,NA,1981,NA,NA,NA,NA,NA,NA
1108,1109,Mario Party 6,GC,Nintendo,0.9,0.11,0.6,0.05,1.65,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA
1109,1110,Super Scope 6,SNES,Nintendo,1.06,0.38,0.15,0.05,1.65,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA
1110,1111,Go Vacation,Wii,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
1111,1112,Dragon Quest V: Tenkuu no Hanayome,PS2,Enix Corporation,0,0,1.65,0,1.65,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA
1112,1113,Army of Two,X360,Electronic Arts,1.09,0.38,0.02,0.16,1.65,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA
1113,1114,Dragon Quest IV: Chapters of the Chosen,DS,Square Enix,0.32,0.02,1.27,0.03,1.64,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
1114,1115,Kirby & the Amazing Mirror,GBA,Nintendo,0.8,0.05,0.76,0.03,1.64,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA
1115,1116,LEGO Pirates of the Caribbean: The Video Game,Wii,Disney Interactive Studios,0.76,0.72,0,0.16,1.64,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,1117,Dig Dug,2600,Atari,1.52,0.1,0,0.02,1.64,NA,NA,NA,NA,NA,1982,NA,NA,NA,NA,NA,NA
1117,1118,Tom Clancy's Rainbow Six,PS,Red Storm Entertainment,0.93,0.63,0,0.08,1.64,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA
1118,1119,Ghosts 'n Goblins,NES,Capcom,0.74,0.26,0.61,0.03,1.64,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,1120,Tiger Woods PGA Tour 2003,PS2,Electronic Arts,0.8,0.63,0,0.21,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA
1120,1121,NBA Live 06 (All region sales),PS2,Electronic Arts,1.44,0.15,0,0.05,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
1121,1122,Prince of Persia: Warrior Within,PS2,Ubisoft,0.54,0.88,0,0.22,1.64,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1122,1123,Kinectimals,X360,Microsoft Game Studios,1.02,0.48,0,0.14,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA
1123,1124,Until Dawn,PS4,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,1125,ESPN NFL 2K5,XB,Sega,1.54,0.02,0,0.07,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1125,1126,Viva Pinata,X360,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA
1126,1127,Pikmin,GC,Nintendo,0.78,0.25,0.56,0.04,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001
1127,1128,Call of Duty: Black Ops,PC,Activision,0.58,0.81,0,0.24,1.63,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA
1128,1129,Sonic Generations,PS3,Sega,0.6,0.73,0.02,0.28,1.63,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
1129,1130,Tiger Woods PGA Tour 2004,PS2,Electronic Arts,1.18,0.34,0,0.1,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA
1130,1131,Ape Escape,PS,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA
1131,1132,NBA 2K15,X360,Take-Two Interactive,1.33,0.14,0,0.15,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA
1132,1133,NCAA Football 2005,PS2,Electronic Arts,1.32,0.09,0,0.22,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1133,1134,Just Cause 2,X360,Square Enix,0.59,0.85,0.02,0.17,1.62,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,1135,Rock Band,PS3,Electronic Arts,0.99,0.41,0,0.22,1.62,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
1135,1136,Tony Hawk's American Wasteland (Old all region sales),PS2,Activision,0.8,0.63,0.01,0.19,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
1136,1137,Rage,X360,Bethesda Softworks,0.82,0.61,0.03,0.15,1.62,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
1137,1138,Mario Hoops 3 on 3,DS,Nintendo,0.99,0.04,0.49,0.1,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA
1138,1139,Kirby Air Ride,GC,Nintendo,1.01,0.11,0.45,0.04,1.62,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
1139,1140,Sled Storm,PS,Electronic Arts,0.9,0.61,0,0.11,1.62,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA
1140,1141,Pokemon Battle Revolution,Wii,Nintendo,0.8,0.38,0.3,0.13,1.61,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
1141,1142,NFL Street 2,PS2,Electronic Arts,0.79,0.62,0,0.21,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1142,1143,Gears of War: Judgment,X360,Microsoft Game Studios,0.92,0.53,0.03,0.13,1.61,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA
1143,1144,Baseball,GB,Nintendo,0.66,0.27,0.65,0.03,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,NA
1144,1145,Yu-Gi-Oh! Duel Monsters,GB,Konami Digital Entertainment,0,0,1.61,0.01,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998
1145,1146,Super Mario Strikers,GC,Nintendo,0.98,0.38,0.2,0.04,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA
1146,1147,Buzz! The Music Quiz,PS2,Sony Computer Entertainment,0,1.18,0,0.43,1.61,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA
1147,1148,SpongeBob's Atlantis SquarePantis,DS,THQ,1.5,0,0,0.11,1.61,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,1149,Far Cry 4,XOne,Ubisoft,0.79,0.68,0.01,0.13,1.61,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA
1149,1150,Dance Dance Revolution: Hottest Party 2,Wii,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
1150,1151,Moshi Monsters: Moshling Zoo,DS,Activision,0.4,0.99,0,0.22,1.6,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
1151,1152,Dollar Dash,PS2,Take-Two Interactive,1.3,0.23,0,0.07,1.6,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,1153,Far Cry 2,X360,Ubisoft,0.71,0.69,0.02,0.18,1.6,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153,1154,F-1 World Grand Prix,N64,Video System,0.46,0.96,0.09,0.08,1.6,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA
1154,1155,River Raid,2600,Activision,1.49,0.09,0,0.02,1.6,NA,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,NA
1155,1156,Silent Hill,PS,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1156,1157,Dragon Quest V: Hand of the Heavenly Bride,DS,Square Enix,0.19,0.02,1.36,0.02,1.6,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
1157,1158,No Man's Sky,PS4,Hello Games,0.58,0.74,0.02,0.26,1.6,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,1159,Sonic Heroes,GC,Sega,1.05,0.44,0.06,0.04,1.6,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA
1159,1160,ESPN NBA 2K5,PS2,Global Star,1.26,0.12,0,0.21,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA
1160,1161,Diablo,PC,Activision,0.01,1.58,0,0,1.59,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA
1161,1162,The Legend of Zelda: Twilight Princess,GC,Nintendo,1.15,0.36,0.04,0.04,1.59,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162,1163,Soul Edge,PS,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,1164,Devil May Cry 4,PS3,Capcom,0.58,0.46,0.34,0.21,1.59,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1164,1165,Mario Bros.,2600,Atari,1.48,0.09,0,0.02,1.59,NA,NA,NA,NA,1982,NA,NA,NA,NA,NA,NA,NA
1165,1166,Pro Evolution Soccer 2008,PS3,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
1166,1167,SoulCalibur IV,X360,Ubisoft,0.92,0.44,0.07,0.15,1.59,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
1167,1168,LEGO Harry Potter: Years 1-4,X360,Warner Bros. Interactive Entertainment,0.95,0.5,0,0.14,1.59,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,1169,NASCAR 2000,PS,Electronic Arts,0.88,0.6,0,0.1,1.59,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA
1169,1170,Wolfenstein: The New Order,PS4,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA
1170,1171,Carnival Games: Mini Golf,Wii,Take-Two Interactive,0.87,0.56,0,0.15,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA
1171,1172,Guitar Hero: On Tour Decades,DS,Activision,0.85,0.58,0,0.16,1.58,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA
1172,1173,MySims Kingdom,DS,Electronic Arts,0.81,0.6,0.01,0.17,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
1173,1174,Jampack Summer 2K,PS,Sony Computer Entertainment,0.88,0.6,0,0.1,1.58,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
1174,1175,Need for Speed: Most Wanted,X360,Electronic Arts,0.62,0.8,0.01,0.15,1.58,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA
1175,1176,Guitar Hero 5,Wii,Activision,0.94,0.49,0,0.15,1.58,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA
1176,1177,High School Musical 3: Senior Year,DS,Disney Interactive Studios,0.64,0.76,0,0.17,1.58,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA
1177,1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,Square Enix,0.88,0.26,0.34,0.09,1.58,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,1179,Hannah Montana: Music Jam,DS,Disney Interactive Studios,1.06,0.37,0,0.15,1.58,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,Nintendo,0.58,0.44,0.44,0.12,1.58,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
1180,1181,Spyro 2: Season of Flame,GBA,Vivendi Games,0.85,0.65,0,0.08,1.58,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA
1181,1182,Pro Evolution Soccer 2010,PS2,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA
1182,1183,NCAA Football 2002,PS2,Electronic Arts,0.77,0.6,0,0.2,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA
1183,1184,Conflict: Desert Storm,PS2,Gotham Games,0.98,0.53,0,0.06,1.57,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA
1184,1185,Mario Party 7,GC,Nintendo,0.95,0.11,0.46,0.04,1.57,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA
1185,1186,Pro Evolution Soccer 2013,PS3,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA
1186,1187,Smuggler's Run,PS2,Take-Two Interactive,0.77,0.6,0,0.2,1.56,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
1187,1188,Fight Night Round 3,PS2,Electronic Arts,1.07,0.4,0,0.1,1.56,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188,1189,Donkey Kong Classics,NES,Nintendo,0.59,0.14,0.81,0.02,1.56,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA
